sha256,kept_file,deleted_file,deleted_size_bytes
95bff35c3ca387fa1e0fc80b25cda6db10c7ad92e240be07a07c51cad6a968e8,MEDIA/IMAGES/checkmark-audio-circular-logo-pattern-small.png,MEDIA/IMAGES/checkmark-audio-circular-logo-pattern-small-view-03.png,4509
98abe09a02457d2ee33dbfd9e14293efb311092e3822e507553d7a68b05a7beb,MEDIA/IMAGES/checkmark-audio-gold-headphones-microphone-logo-transparent.png,MEDIA/IMAGES/checkmark-audio-gold-headphones-microphone-logo-transparent-view-02.png,784820
9a96b71895d7ff84817b2a2a32260c00750200621ea16f7a956d95ad47ae7c25,MEDIA/IMAGES/country-meds-singer-studio-headphones.jpg,MEDIA/IMAGES/country-meds-singer-studio-headphones-view-02.jpg,1256520
9c6f9304681bb2a30003445c3bdd148873c633fbad546aacdf2568618692b529,MEDIA/IMAGES/the-b-roll-4.jpg,MEDIA/IMAGES/the-b-roll-4-view-02.jpg,877319
9c90ec50a8799f6e81251cc129fe1f76a8f27e3882c6ef5d37eb6bd900d8c838,MEDIA/IMAGES/gavin-hammond-mixing-workstation.jpg,MEDIA/IMAGES/gavin-hammond-mixing-workstation-view-02.jpg,9297456
9edfae973673e739db5266b3ac3598ad0cb53a41ae9277446c0d341be586f82f,MEDIA/IMAGES/haven-album-cover-1.jpg,MEDIA/IMAGES/haven-album-cover-1-view-02.jpg,1188173
a01d9791b8811cc98c8ac790990cd264b76d35b687bb02bff1034f28b0d33403,MEDIA/IMAGES/vocal-booth-artist-back-02.jpg,MEDIA/IMAGES/vocal-booth-artist-back-02-view-02.jpg,16574775
a028828ff4ae30d49f98b2208d919a47bb4c625b9fe0faa1543d5c1b15829b33,MEDIA/IMAGES/male-artist-blue-cap-studio-headshot.jpg,MEDIA/IMAGES/artist-portrait-cap-view-02.jpg,9262751
a0ebaf821935b313972a9d1258ec348b9f318ff9915c8bb817013d0774a97b14,MEDIA/IMAGES/checkmark-audio-headphones-microphone-logo-black.jpg,MEDIA/IMAGES/checkmark-audio-headphones-microphone-logo-black-view-02.jpg,265356
a64b5bf6a4767bc6481fbc231541ed34d998e59fd91dd89586ee1fb6a105239b,MEDIA/IMAGES/millie-artist-photography-promo.png,MEDIA/IMAGES/millie-artist-photography-promo-view-02.png,2652662
a64b5bf6a4767bc6481fbc231541ed34d998e59fd91dd89586ee1fb6a105239b,MEDIA/IMAGES/millie-artist-photography-promo.png,MEDIA/IMAGES/millie-artist-photography-promo-view-03.png,2652662
a6a2a6d2ecc55c86097f72561a896eabbcf6dd6e137f0fb59c2f6b91a5e2ff0c,MEDIA/IMAGES/acoustic-guitar-horizontal-studio-product-photo.jpeg,MEDIA/IMAGES/guitar-header-2-view-02.jpeg,480989
aac6c8cb94215fc41ff7c54ac26a5ca43ba85b3d0b730965a3bdd9a0b20c5bf3,MEDIA/IMAGES/gardenview-album-cover-5.jpg,MEDIA/IMAGES/gardenview-album-cover-5-view-02.jpg,572954
b131b6cf3d6ca3c02379595739aff26ffbff981d8d3711c7e0273e7b2ccbd29b,MEDIA/IMAGES/gregorio-and-the-unknown-artist-cafe-music-artist-bottom-footer.jpg,MEDIA/IMAGES/gregorio-and-the-unknown-artist-cafe-music-artist-bottom-footer-view-02.jpg,107862
b166acf9176e8bd958b7998ea9220cfb5c07bebfcf8030b1c1f76a45b649cab1,MEDIA/IMAGES/vocal-recording-microphone-console.jpg,MEDIA/IMAGES/vocal-recording-microphone-console-view-02.jpg,3670016
b18b9f639eab791b4187eca72b8583aabb86438656f22bcc49aada2484622a86,MEDIA/IMAGES/albuquerque-music-recording-studio-b-vocal-booth-red.jpg,MEDIA/IMAGES/albuquerque-music-recording-studio-b-vocal-booth-red-view-02.jpg,3495111
b350a31e358f75083f2d7c105d22a3ba2173e5dd7b2fd50ed6ad16c7b92cc196,MEDIA/IMAGES/engineer-at-control-room.jpeg,MEDIA/IMAGES/engineer-at-control-room-view-02.jpeg,9049611
b4d4b6e6f018a404b074db3392669cfd89429a8d4cc51847f23f0894d52ad1e1,MEDIA/IMAGES/tiny-house-elevator-checkmark-live-performance.png,MEDIA/IMAGES/tiny-house-elevator-checkmark-live-performance-2.png,14475331
b683adb438d910ea3df509689f260201b8c8db769aba601b2315288b9ba39d86,MEDIA/IMAGES/artists-cafe-milli-footer-picture-3.jpg,MEDIA/IMAGES/artists-cafe-milli-footer-picture-3-view-02.jpg,4063558
b9d2fe50c24b0c3b22078cc534c47d4e1560520ce00fce171c38d416c2744b6d,MEDIA/IMAGES/artists-cafe-richard-footer-picture-5.jpg,MEDIA/IMAGES/artists-cafe-richard-footer-picture-5-view-02.jpg,200122
bffc5ac6614215b015de74bde9918c271568b8c766514b38922f46dbd84f905e,MEDIA/IMAGES/vocal-recording-albuquerque-nm-microphone-studio-sign.jpg,MEDIA/IMAGES/microphone-sign-background-view-02.jpg,4816896
c26cd04e44b4e0e8dba63e0c16f6996bb30e55ac3e58bff2b08a9e3477dfd282,MEDIA/IMAGES/studio-a-lounge-wide-view-02.jpg,MEDIA/IMAGES/studio-a-lounge-wide-view-03.jpg,5651819
c39a739a546eaad61d64a734637006aa3f6d679275163714ae89a4ca8c07a667,MEDIA/IMAGES/control-room-speaker-mural.jpg,MEDIA/IMAGES/control-room-speaker-mural-view-02.jpg,7039865
c6725982c2eda6e40008432aafd5a808049a44a3adbf20a30325836622bc7b34,MEDIA/IMAGES/artists-cafe-country-medicine-footer-picture-1.jpg,MEDIA/IMAGES/artists-cafe-country-medicine-footer-picture-1-view-02.jpg,1341796
c6e79af1345642909cab2e8cf7bd4a9c1484894c4d3c10e406041dbfc4225ca9,MEDIA/IMAGES/hey-millie-album-cover-artist-holding-cash.jpg,MEDIA/IMAGES/hey-millie-album-cover-artist-holding-cash-view-02.jpg,467331
c75494d339793a592106860fcdb7f5c4ab0353032eaa7724f92ac2fa4db89d96,MEDIA/IMAGES/richard-baca-engineering-at-console.jpg,MEDIA/IMAGES/richard-baca-engineering-at-console-view-02.jpg,6445361
cae9db45843f5f168ddc701b74cf6860e051a349a4ec19ac6054e401062b4d79,MEDIA/IMAGES/debut-band-single-artwork.jpg,MEDIA/IMAGES/debut-band-single-artwork-view-02.jpg,3736319
cc194587fed1e89ba98de055d27014c00acdbed4ded8014be27e068a92451401,MEDIA/IMAGES/namm-believe-in-music-logo.png,MEDIA/IMAGES/namm-logo-view-02.png,6851
ce760c9c70b996256b39f50b3bb221bfabdd4c9631ffa48153b2f0a9c79c181c,MEDIA/IMAGES/gregorio-and-the-unknown-1.jpg,MEDIA/IMAGES/gregorio-and-the-unknown-1-view-02.jpg,271339
d141080bc9201dfbe7345fd1714c4811f72188fc8af01cb9d5d859a29955ce95,MEDIA/IMAGES/studio-b-vocal-booth-microphone.jpg,MEDIA/IMAGES/studio-b-vocal-booth-microphone-view-02.jpg,1535025
d278aa3107f6b15e644ab4ee97dddd0d5a3e20719d56571068e7ea240610e7a7,MEDIA/IMAGES/checkmark-audio-albuquerque-recording-studio-live-room-1.jpg,MEDIA/IMAGES/checkmark-audio-albuquerque-recording-studio-live-room-1-view-02.jpg,8514494
d370ee2a8d5a9b6ae4d3931906ed4405f42ff90ef2cd29013aaeb1d3767fc5ee,MEDIA/IMAGES/studio-team-group-portrait.jpg,MEDIA/IMAGES/studio-team-group-portrait-view-02.jpg,1494824
d51b9490dee9d730b3142fe578994926ee1fa643071f299360206ba1bae68680,MEDIA/IMAGES/richard-baca-and-marz-studio-session.jpg,MEDIA/IMAGES/richard-baca-and-marz-studio-session-view-02.jpg,7874759
d7368a26c8ce3330f246d435a15bfaa81a9c5f55e36f01ef2e0530ab80dd3eca,MEDIA/IMAGES/checkmark-audio-studio-waiting-area.jpg,MEDIA/IMAGES/checkmark-audio-studio-waiting-area-view-02.jpg,7728928
d78d340c013b39c71a5dafb53112916564d835dc5c0077b70a916a3dc65776dc,MEDIA/IMAGES/checkmark-audio-music-studio-equipment.jpg,MEDIA/IMAGES/checkmark-audio-music-studio-equipment-view-02.jpg,1660029
d7fb712aa262ed66bcdd95a408b26e4573e651f0bb5756ab14e1341a4b2777d3,MEDIA/IMAGES/richard-baca-mixing-workstation.jpg,MEDIA/IMAGES/richard-baca-mixing-workstation-view-02.jpg,6068072
ddf22e6dcd64234b8f235b1401ce28f450802e63a0289424a14e84cab7bd632e,MEDIA/IMAGES/acoustic-guitar-standing-studio-product-photo.png,MEDIA/IMAGES/guitar-image-header-view-02.png,3470911
e03b9a3c299613b28b6955a83d8fc8bc37e74b746a669e05085453819acd40b3,MEDIA/IMAGES/checkmark-audio-recording-studio-headphones-microphone-logo.jpg,MEDIA/IMAGES/checkmark-audio-recording-studio-headphones-microphone-logo-view-02.jpg,860525
e03b9a3c299613b28b6955a83d8fc8bc37e74b746a669e05085453819acd40b3,MEDIA/IMAGES/checkmark-audio-recording-studio-headphones-microphone-logo.jpg,MEDIA/IMAGES/checkmark-audio-recording-studio-headphones-microphone-logo-view-03.jpg,860525
e050a2d6c2a23751108d06ec8e7f6ae75c2801c61448544b4ba2facfc3097c1d,MEDIA/IMAGES/studio-hallway-musician-mural-view-02.jpg,MEDIA/IMAGES/studio-hallway-musician-mural-view-03.jpg,8076972
e46d2dd92ea70bc3bb2960560753e964dad39316e0b31e5d6f1c6746ab99f81d,MEDIA/IMAGES/music-production-albuquerque-nm-control-room-desk.jpg,MEDIA/IMAGES/control-room-desk-view-02.jpg,5898240
e91b320c6b8f870ba9b023f537a7b3abe349e844aef0df0f4aea0ee5cbc8bbaf,MEDIA/IMAGES/richard-w-guitar-3.jpg,MEDIA/IMAGES/richard-w-guitar-3-view-02.jpg,1331325
e943bbf8b40dcb8b6d328ed02089d74ca9da661d030a213f4926384a56a5300f,MEDIA/IMAGES/gavin-hammond-keyboard-performance-view-02.png,MEDIA/IMAGES/gavin-hammond-keyboard-performance-view-03.png,1609513
e94c2fa37e8ea598598681c13bae10e63b448789a14e8e03076972feba70a4e0,MEDIA/IMAGES/checkmark-audio-demo-reel-title-02.jpg,MEDIA/IMAGES/checkmark-audio-demo-reel-title-02-view-02.jpg,917129
f1557baf5a74b2ab9a9183ebdecc142be924876b8425e8ad497e3020a92adca2,MEDIA/IMAGES/music-production-albuquerque-nm-stacked-synth-keyboards.jpg,MEDIA/IMAGES/synth-keyboards-view-02.jpg,4128768
f174896b023baeceb9cc14c53cc6c89f7557486ae39e44e3f9c4039e3f71247e,MEDIA/IMAGES/vocal-recording-albuquerque-nm-purple-booth-curtain.jpg,MEDIA/IMAGES/purple-booth-curtain-view-02.jpg,6356992
f5f3bc13b3930871388bfd331c97c90ead8c9509e602c74fcb0705e456944219,MEDIA/IMAGES/artist-profile-teal-jacket.jpg,MEDIA/IMAGES/artist-profile-teal-jacket-view-02.jpg,2750257
f6c8a8ddf840bcdd88a7abfc3289ae1c1faa0c8c4020f1aea0922706228f34fc,MEDIA/IMAGES/mixing-engineer-at-studio-workstation-view-04.jpg,MEDIA/IMAGES/mixing-engineer-at-studio-workstation-view-05.jpg,7572873
ffe422b2bb798be7f16f7e6f029c26b1f4f7071f7ba99721ae648c8dc24f7ec2,MEDIA/IMAGES/albuquerque-music-studio-checkmark-audio-studio-b-david-posing-in-front-of-picture.jpg,MEDIA/IMAGES/albuquerque-music-studio-checkmark-audio-studio-b-david-posing-in-front-of-picture-view-02.jpg,26711382
